product_option_value_id,product_option_id,product_id,option_id,option_value_id,quantity,subtract,price,price_prefix,points,points_prefix,weight,weight_prefix
66905,55690,46150,361,72,1000,0,0,+,0,+,1,+
66906,55690,46150,361,71,1000,0,0,+,0,+,1,+
66907,55690,46150,361,78,1000,0,1,+,0,+,1,+
66912,55695,12320,13,62,1000,0,0,+,0,+,0,+
66913,55695,12320,13,63,1000,0,6,+,0,+,0,+
66914,55695,12320,13,64,1000,0,14,+,0,+,0,+
66919,55703,46525,825,103,1000,1,0,+,0,+,0,+
66968,55741,47658,13,319,0,0,59.99,+,0,+,0,+
66969,55741,47658,13,62,1000,0,0,+,0,+,1,+
66970,55741,47658,13,63,1000,0,6,+,0,+,2,+
66971,55741,47658,13,64,1000,0,14,+,0,+,2,+
66984,55754,46595,955,113,997,1,0,+,0,+,0,+
66985,55754,46595,955,111,998,1,0,+,0,+,0,+
66986,55754,46595,955,112,1000,1,0,+,0,+,0,+
66987,55755,46595,13,324,1000,0,1,+,0,+,0,+
66988,55755,46595,13,63,1000,0,7,+,0,+,0,+
66989,55755,46595,13,325,1000,0,11,+,0,+,0,+
66990,55755,46595,13,425,0,0,0,+,0,+,0,+
66991,55755,46595,13,201,0,0,47,+,0,+,0,+
66992,55755,46595,13,197,0,0,51,+,0,+,0,+
66993,55756,12908,13,319,0,0,71,+,0,+,0,+
66994,55756,12908,13,324,1000,0,1,+,0,+,1,+
66995,55756,12908,13,63,1000,0,7,+,0,+,2,+
66996,55756,12908,13,325,1000,0,11,+,0,+,2,+
66997,55756,12908,13,425,0,0,0,+,0,+,0,+
66998,55756,12908,13,201,0,0,47,+,0,+,0,+
66999,55756,12908,13,197,0,0,51,+,0,+,0,+
67000,55762,12993,13,319,0,0,69,+,0,+,0,+
67001,55762,12993,13,324,1000,0,2,+,0,+,1,+
67002,55762,12993,13,63,1000,0,5,+,0,+,2,+
67003,55762,12993,13,325,1000,0,10,+,0,+,2,+
67004,55762,12993,13,425,0,0,0,+,0,+,0,+
67005,55762,12993,13,201,0,0,45,+,0,+,0,+
67006,55762,12993,13,197,0,0,50,+,0,+,0,+
67007,55767,12988,13,319,0,0,71,+,0,+,0,+
67008,55767,12988,13,324,1000,0,1,+,0,+,1,+
67009,55767,12988,13,63,1000,0,7,+,0,+,2,+
67010,55767,12988,13,325,1000,0,11,+,0,+,2,+
67011,55767,12988,13,425,0,0,0,+,0,+,0,+
67012,55767,12988,13,201,0,0,47,+,0,+,0,+
67013,55767,12988,13,197,0,0,51,+,0,+,0,+
67014,55772,12437,13,319,0,0,60,+,0,+,0,+
67015,55772,12437,13,324,1000,0,2,+,0,+,1,+
67016,55772,12437,13,63,1000,0,5,+,0,+,2,+
67017,55772,12437,13,325,1000,0,10,+,0,+,2,+
67018,55772,12437,13,425,0,0,0,+,0,+,0,+
67019,55772,12437,13,201,0,0,45,+,0,+,0,+
67020,55772,12437,13,197,0,0,50,+,0,+,0,+
67021,55777,11517,13,319,0,0,71,+,0,+,0,+
67022,55777,11517,13,324,1000,0,1,+,0,+,1,+
67023,55777,11517,13,63,1000,0,7,+,0,+,2,+
67024,55777,11517,13,325,1000,0,11,+,0,+,2,+
67025,55777,11517,13,425,0,0,0,+,0,+,0,+
67026,55777,11517,13,201,0,0,47,+,0,+,0,+
67027,55777,11517,13,197,0,0,51,+,0,+,0,+
